STATEFP,COUNTYFP,GEOID,ALAND,AWATER,NAME,pop,state,county,sq_km,density,pop_mil,percent
01,001,01001,1539602123,25706961,"Autauga County, Alabama",55200,01,001,1539.602123,35.85341899401889,0.0552,1.1347097856385209
01,003,01003,4117546676,1133055836,"Baldwin County, Alabama",208107,01,003,4117.546676,50.54150356400234,0.208107,4.277917560867313
01,005,01005,2292144655,50538698,"Barbour County, Alabama",25782,01,005,2292.144655,11.247981205618979,0.025782,0.5299834727052961
01,007,01007,1612167481,9602089,"Bibb County, Alabama",22527,01,007,1612.167481,13.973114000554636,0.022527,0.4630725967586768
01,009,01009,1670103911,15015423,"Blount County, Alabama",57645,01,009,1670.103911,34.51581642335307,0.057645,1.1849700288610967
01,011,01011,1613059160,6054988,"Bullock County, Alabama",10352,01,011,1613.05916,6.417619549676033,0.010352,0.21279919748061538
01,013,01013,2012002530,2701198,"Butler County, Alabama",20025,01,013,2012.00253,9.95277078503475,0.020025,0.4116406423444091
01,015,01015,1569189622,16627597,"Calhoun County, Alabama",115098,01,015,1569.189622,73.34868800196539,0.115098,2.365993241076494
01,017,01017,1545085607,16971701,"Chambers County, Alabama",33826,01,017,1545.085607,21.89263808215644,0.033826,0.6953386450907356
01,019,01019,1433623321,120308339,"Cherokee County, Alabama",25853,01,019,1433.623321,18.03332829572462,0.025853,0.531442972610737
01,021,01021,1794477075,20592144,"Chilton County, Alabama",43930,01,021,1794.477075,24.480669389437587,0.04393,0.9030398710706562
01,023,01023,2365869835,19144469,"Choctaw County, Alabama",13075,01,023,2365.869835,5.526508604392431,0.013075,0.26877410230477644
01,025,01025,3207494111,36657891,"Clarke County, Alabama",24387,01,025,3207.494111,7.603131652328075,0.024387,0.5013073830138879
01,027,01027,1564251835,5285207,"Clay County, Alabama",13378,01,027,1564.251835,8.552331345035629,0.013378,0.27500267232377057
01,029,01029,1450663940,2354896,"Cleburne County, Alabama",14938,01,029,1450.66394,10.297353913684518,0.014938,0.30707055757007656
01,031,01031,1758565925,3907189,"Coffee County, Alabama",51288,01,031,1758.565925,29.16467291381186,0.051288,1.0542933964823995
